iter	RMSE
0	76515.9246
1	74651.81085
2	73020.6304
3	71255.92808
4	69525.71516
5	68014.58546
6	66667.24527
7	65174.44367
8	63822.28438
9	62398.24505
10	61063.10906
11	59656.98801
12	58583.52526
13	57540.31836
14	56373.58472
15	55332.48478
16	54262.41168
17	53211.13676
18	52281.03455
19	51310.01489
20	50305.09345
21	49440.42261
22	48612.6926
23	47782.6232
24	47015.70143
25	46319.63961
26	45465.35493
27	44601.11507
28	43812.13096
29	43122.34067
30	42489.35477
31	41742.04221
32	40948.81964
33	40288.6018
34	39656.55695
35	39013.0952
36	38407.56694
37	37860.79194
38	37313.93118
39	36865.15538
40	36390.77198
41	35927.90772
42	35389.46032
43	34954.07656
44	34602.21954
45	34208.08744
46	33677.98832
47	33312.20046
48	32884.16811
49	32464.86113
50	32075.30852
51	31730.1045
52	31327.81556
53	30925.15704
54	30569.8088
55	30289.54935
56	29933.02998
57	29624.9128
58	29366.40108
59	29103.50104
60	28789.78138
61	28538.99199
62	28341.16874
63	28033.47724
64	27810.62347
65	27570.65276
66	27347.34038
67	27107.93998
68	26849.11384
69	26642.72055
70	26416.28102
71	26201.41384
72	26013.67616
73	25800.40137
74	25623.27122
75	25463.90642
76	25241.44128
77	25095.43758
78	24901.02748
79	24730.64541
80	24563.28319
81	24364.62929
82	24165.78816
83	24007.1027
84	23871.97231
85	23688.99333
86	23540.68111
87	23382.61976
88	23243.89045
89	23125.38132
90	22997.2885
91	22836.86626
92	22698.87431
93	22550.50222
94	22436.12797
95	22307.27929
96	22156.19179
97	22045.76596
98	21940.30095
99	21856.72765
100	21783.57571
101	21669.65072
102	21564.39303
103	21502.78127
104	21383.59872
105	21269.98993
106	21143.88135
107	20978.01974
108	20895.54166
109	20824.67659
110	20722.7373
111	20660.75303
112	20505.4761
113	20382.9868
114	20313.07264
115	20261.03883
116	20197.38238
117	20116.4103
118	20016.08864
119	19926.0428
120	19863.72978
121	19796.80922
122	19700.10679
123	19599.17358
124	19507.84984
125	19458.29891
126	19371.64018
127	19272.06353
128	19173.61126
129	19108.16347
130	19021.14502
131	18990.94351
132	18935.37345
133	18877.97049
134	18806.93751
135	18716.44302
136	18632.99879
137	18578.05986
138	18484.71914
139	18415.26031
140	18382.30336
141	18324.16414
142	18257.23029
143	18223.40014
144	18186.61974
145	18077.88805
146	18019.29311
147	17968.57353
148	17932.821
149	17867.14394
150	17806.39326
151	17754.60819
152	17682.57269
153	17606.28368
154	17565.88161
155	17492.45146
156	17436.40581
157	17382.48951
158	17331.68222
159	17300.45262
160	17249.99902
161	17190.74025
162	17173.69163
163	17147.93132
164	17070.72351
165	17027.56982
166	16951.63536
167	16899.9391
168	16850.05176
169	16805.4778
170	16738.69325
171	16671.5229
172	16630.52637
173	16614.29236
174	16533.98338
175	16476.54093
176	16404.76483
177	16320.60842
178	16274.77593
179	16212.28921
180	16156.72319
181	16106.87382
182	16058.75171
183	15981.7775
184	15898.56379
185	15850.48914
186	15841.23033
187	15772.37368
188	15709.66608
189	15682.30112
190	15631.44107
191	15582.48349
192	15545.5131
193	15483.6514
194	15433.11717
195	15368.86823
196	15320.09351
197	15269.52622
198	15185.13012
199	15140.07669
200	15074.22844
201	15030.0827
202	14958.10745
203	14906.2083
204	14862.20085
205	14825.27003
206	14767.74789
207	14727.24515
208	14646.44673
209	14570.64041
210	14489.27119
211	14431.63654
212	14358.18318
213	14312.6517
214	14259.53249
215	14208.10474
216	14172.6995
217	14102.162
218	14067.19256
219	14017.85923
220	13975.7951
221	13923.83217
222	13873.54272
223	13802.52457
224	13759.56397
225	13720.20751
226	13674.20976
227	13625.42335
228	13596.40959
229	13553.34296
230	13513.71547
231	13439.2623
232	13401.71337
233	13352.80932
234	13287.0617
235	13247.14716
236	13192.50136
237	13161.61034
238	13098.82127
239	13061.82457
240	13027.30956
241	12989.75807
242	12947.91307
243	12901.8705
244	12849.63703
245	12813.88992
246	12750.7017
247	12704.20672
248	12675.93005
249	12633.94424
250	12574.41036
251	12546.68369
252	12499.26534
253	12453.88817
254	12427.36833
255	12370.13713
256	12313.24645
257	12263.84814
258	12232.20348
