iter	Passed	Remaining
0	4	3694
1	8	3348
2	14	3574
3	18	3468
4	22	3383
5	27	3366
6	31	3337
7	35	3323
8	40	3360
9	45	3349
10	50	3407
11	61	3778
12	66	3776
13	68	3596
14	73	3607
15	79	3630
16	83	3591
17	88	3583
18	92	3564
19	96	3530
20	101	3515
21	105	3497
22	111	3533
23	117	3550
24	122	3560
25	127	3543
26	131	3512
27	135	3499
28	141	3517
29	146	3513
30	150	3489
31	156	3510
32	162	3521
33	167	3519
34	172	3528
35	179	3555
36	185	3567
37	190	3574
38	196	3587
39	203	3606
40	209	3614
41	214	3614
42	219	3604
43	224	3610
44	231	3622
45	238	3649
46	244	3652
47	249	3649
48	254	3636
49	258	3621
50	264	3619
51	269	3614
52	274	3604
53	278	3591
54	283	3587
55	288	3579
56	293	3569
57	298	3556
58	303	3558
59	308	3547
60	313	3539
61	317	3525
62	322	3519
63	326	3502
64	332	3504
65	337	3494
66	341	3481
67	344	3455
68	349	3451
69	354	3438
70	358	3428
71	364	3428
72	370	3434
73	375	3429
74	410	3696
75	415	3682
76	420	3674
77	425	3663
78	430	3659
79	435	3647
80	441	3647
81	446	3641
82	452	3633
83	457	3623
84	461	3613
85	467	3609
86	472	3599
87	476	3585
88	481	3575
89	486	3569
90	491	3561
91	496	3547
92	500	3537
93	505	3529
94	510	3519
95	515	3512
96	521	3510
97	526	3503
98	531	3495
99	536	3485
100	540	3474
101	546	3470
102	550	3458
103	555	3449
104	560	3440
105	564	3429
106	569	3421
107	573	3410
108	578	3401
109	582	3390
110	587	3382
111	591	3371
112	596	3361
113	600	3350
114	604	3340
115	609	3332
116	615	3332
117	620	3324
118	625	3318
119	630	3308
120	635	3301
121	640	3294
122	645	3288
123	649	3279
124	654	3274
125	659	3267
126	664	3259
127	668	3250
128	673	3242
129	677	3230
130	682	3224
131	687	3217
132	691	3209
133	696	3202
134	702	3200
135	707	3196
136	713	3192
137	718	3188
138	724	3183
139	729	3178
140	734	3170
141	738	3162
142	743	3156
143	748	3149
144	752	3140
145	757	3133
146	762	3126
147	766	3116
148	770	3108
149	775	3101
150	780	3095
151	784	3084
152	790	3083
153	795	3080
154	800	3073
155	804	3064
156	809	3058
157	814	3050
158	820	3047
159	825	3043
160	830	3038
161	835	3031
162	839	3023
163	843	3015
164	849	3012
165	855	3008
166	859	3001
167	865	2997
168	870	2992
169	875	2987
170	879	2978
171	884	2973
172	890	2969
173	895	2963
174	899	2955
175	908	2961
176	912	2954
177	917	2948
178	922	2941
179	926	2935
180	931	2928
181	937	2925
182	941	2918
183	946	2912
184	952	2907
185	957	2902
186	961	2896
187	966	2889
188	971	2885
189	976	2878
190	982	2875
191	987	2870
192	994	2868
193	999	2864
194	1005	2861
195	1010	2855
196	1014	2848
197	1020	2845
198	1025	2840
199	1031	2836
200	1036	2830
201	1041	2825
202	1049	2827
203	1056	2828
204	1063	2826
205	1068	2821
206	1073	2816
207	1079	2812
208	1083	2805
209	1088	2800
210	1094	2794
211	1100	2791
212	1105	2787
213	1112	2786
214	1118	2783
215	1122	2775
216	1128	2772
217	1134	2769
218	1140	2764
219	1145	2760
220	1156	2767
221	1163	2766
222	1173	2773
223	1181	2774
224	1188	2772
225	1194	2770
226	1199	2764
227	1205	2758
228	1210	2753
229	1216	2749
230	1221	2744
231	1228	2742
232	1234	2739
233	1241	2736
234	1246	2732
235	1252	2727
236	1258	2724
237	1264	2720
238	1269	2715
239	1276	2712
240	1282	2708
241	1327	2786
242	1351	2819
243	1365	2831
244	1373	2831
245	1381	2830
246	1387	2825
247	1394	2823
248	1400	2817
249	1407	2815
250	1415	2814
251	1424	2815
252	1431	2812
253	1437	2807
254	1442	2800
255	1448	2794
256	1454	2789
257	1459	2784
258	1465	2778
259	1470	2771
260	1475	2763
261	1480	2757
262	1485	2750
263	1490	2743
264	1494	2735
265	1500	2729
266	1504	2722
267	1509	2714
268	1514	2708
269	1520	2703
270	1525	2696
271	1530	2690
272	1535	2683
273	1540	2675
274	1544	2668
275	1549	2660
276	1553	2652
277	1558	2646
278	1562	2638
279	1568	2633
280	1574	2627
281	1579	2621
282	1584	2614
283	1589	2608
284	1594	2602
285	1599	2595
286	1605	2589
287	1610	2583
288	1615	2577
289	1621	2572
290	1626	2565
291	1631	2558
292	1635	2551
293	1640	2545
294	1651	2547
295	1657	2542
296	1664	2538
297	1671	2534
298	1677	2530
299	1684	2526
300	1698	2534
301	1706	2531
302	1714	2529
303	1722	2527
304	1732	2527
305	1744	2531
306	1750	2526
307	1758	2522
308	1764	2518
309	1771	2514
310	1778	2509
311	1786	2508
312	1796	2507
313	1802	2503
314	1808	2497
315	1822	2503
316	1829	2498
317	1835	2493
318	1841	2487
319	1848	2483
320	1855	2479
321	1863	2477
322	1881	2487
323	1886	2481
324	1892	2474
325	1898	2468
326	1902	2461
327	1908	2455
328	1913	2448
329	1918	2441
330	1923	2434
331	1928	2427
332	1932	2420
333	1937	2413
334	1941	2404
335	1946	2398
336	1950	2390
337	1955	2383
338	1960	2377
339	1965	2370
340	1970	2363
341	1975	2357
342	1983	2353
343	1990	2349
344	1996	2343
345	2002	2337
346	2009	2333
347	2017	2330
348	2024	2326
349	2031	2321
350	2037	2316
351	2043	2310
352	2058	2315
353	2066	2311
354	2072	2305
355	2078	2300
356	2084	2294
357	2089	2288
358	2099	2286
359	2105	2281
360	2112	2276
361	2117	2269
362	2138	2280
363	2146	2275
364	2151	2269
365	2156	2262
366	2161	2255
367	2168	2250
368	2174	2244
369	2181	2240
370	2187	2234
371	2196	2231
372	2202	2225
373	2208	2220
374	2216	2216
375	2223	2211
376	2230	2206
377	2238	2203
378	2246	2199
379	2254	2195
380	2261	2190
381	2267	2184
382	2273	2178
383	2285	2177
384	2291	2172
385	2297	2166
386	2302	2159
387	2307	2152
388	2313	2146
389	2319	2141
390	2324	2134
391	2330	2128
392	2335	2121
393	2342	2116
394	2347	2110
395	2353	2104
396	2359	2098
397	2366	2093
398	2376	2090
399	2383	2085
400	2388	2078
401	2393	2072
402	2400	2066
403	2407	2062
404	2415	2057
405	2421	2051
406	2427	2045
407	2433	2039
408	2439	2033
409	2446	2028
410	2451	2022
411	2456	2015
412	2460	2008
413	2466	2001
414	2473	1996
415	2478	1989
416	2482	1982
417	2487	1975
418	2492	1969
419	2497	1962
420	2502	1955
421	2507	1949
422	2512	1942
423	2517	1935
424	2522	1928
425	2527	1922
426	2531	1915
427	2536	1908
428	2542	1902
429	2547	1895
430	2551	1888
431	2555	1881
432	2561	1874
433	2565	1867
434	2570	1861
435	2574	1854
436	2580	1848
437	2584	1840
438	2589	1834
439	2594	1828
440	2600	1821
441	2605	1815
442	2610	1808
443	2614	1802
444	2620	1795
445	2624	1788
446	2629	1782
447	2634	1775
448	2638	1768
449	2643	1762
450	2648	1755
451	2652	1749
452	2657	1742
453	2662	1735
454	2668	1729
455	2672	1723
456	2677	1716
457	2682	1710
458	2688	1704
459	2692	1697
460	2699	1692
461	2705	1686
462	2710	1680
463	2717	1674
464	2724	1669
465	2730	1664
466	2736	1658
467	2743	1653
468	2749	1647
469	2755	1641
470	2761	1635
471	2767	1629
472	2773	1624
473	2779	1618
474	2785	1612
475	2792	1607
476	2798	1601
477	2805	1596
478	2811	1590
479	2817	1585
480	2825	1580
481	2832	1574
482	2838	1568
483	2844	1563
484	2851	1557
485	2857	1552
486	2866	1547
487	2873	1542
488	2879	1537
489	2885	1530
490	2891	1525
491	2897	1519
492	2903	1513
493	2909	1507
494	2914	1501
495	2919	1495
496	2925	1489
497	2931	1483
498	2935	1476
499	2942	1471
500	2948	1465
501	2955	1459
502	2961	1454
503	2967	1448
504	2976	1443
505	2983	1438
506	2992	1434
507	3004	1431
508	3013	1426
509	3021	1421
510	3028	1416
511	3037	1411
512	3046	1407
513	3064	1406
514	3071	1401
515	3078	1396
516	3087	1391
517	3096	1386
518	3104	1381
519	3112	1376
520	3118	1370
521	3128	1366
522	3136	1361
523	3143	1355
524	3149	1349
525	3157	1344
526	3165	1339
527	3171	1333
528	3178	1327
529	3185	1322
530	3195	1317
531	3206	1313
532	3216	1309
533	3225	1304
534	3239	1301
535	3246	1296
536	3252	1290
537	3258	1284
538	3265	1278
539	3272	1272
540	3278	1266
541	3285	1260
542	3292	1255
543	3297	1248
544	3304	1242
545	3309	1236
546	3314	1229
547	3321	1224
548	3326	1217
549	3332	1211
550	3337	1205
551	3343	1199
552	3348	1192
553	3354	1186
554	3359	1180
555	3365	1174
556	3371	1168
557	3378	1162
558	3383	1155
559	3388	1149
560	3394	1143
561	3400	1137
562	3406	1131
563	3412	1125
564	3418	1119
565	3423	1112
566	3429	1106
567	3434	1100
568	3440	1094
569	3446	1088
570	3451	1082
571	3456	1075
572	3461	1069
573	3466	1062
574	3471	1056
575	3476	1050
576	3481	1043
577	3486	1037
578	3490	1030
579	3495	1024
580	3501	1018
581	3506	1012
582	3511	1005
583	3516	999
584	3522	993
585	3528	987
586	3533	981
587	3537	974
588	3543	968
589	3559	965
590	3564	958
591	3569	952
592	3574	946
593	3580	940
594	3585	933
595	3591	927
596	3596	921
597	3602	915
598	3607	909
599	3612	903
600	3617	896
601	3622	890
602	3627	884
603	3632	878
604	3638	871
605	3643	865
606	3648	859
607	3653	853
608	3658	847
609	3664	840
610	3669	834
611	3674	828
612	3679	822
613	3685	816
614	3690	810
615	3697	804
616	3703	798
617	3709	792
618	3715	786
619	3720	780
620	3725	773
621	3731	767
622	3735	761
623	3740	755
624	3745	749
625	3750	742
626	3755	736
627	3760	730
628	3765	724
629	3771	718
630	3780	712
631	3791	707
632	3804	703
633	3810	697
634	3817	691
635	3824	685
636	3831	679
637	3852	676
638	3859	670
639	3867	664
640	3874	658
641	3882	653
642	3891	647
643	3898	641
644	3905	635
645	3913	630
646	3922	624
647	3930	618
648	3940	613
649	3947	607
650	3956	601
651	3964	595
652	3973	590
653	3986	585
654	3994	579
655	4003	573
656	4012	567
657	4019	562
658	4027	556
659	4035	550
660	4042	544
661	4052	538
662	4062	533
663	4071	527
664	4082	521
665	4091	516
666	4104	510
667	4114	505
668	4122	499
669	4138	494
670	4146	488
671	4154	482
672	4172	477
673	4182	471
674	4192	465
675	4203	460
676	4212	454
677	4222	448
678	4234	442
679	4243	436
680	4251	430
681	4260	424
682	4269	418
683	4275	412
684	4281	406
685	4288	400
686	4295	393
687	4301	387
688	4310	381
689	4317	375
690	4324	369
691	4332	363
692	4339	356
693	4347	350
694	4355	344
695	4364	338
696	4371	332
697	4376	326
698	4382	319
699	4389	313
700	4398	307
701	4404	301
702	4411	294
703	4418	288
704	4426	282
705	4434	276
706	4440	270
707	4446	263
708	4451	257
709	4458	251
710	4464	244
711	4471	238
712	4477	232
713	4484	226
714	4491	219
715	4496	213
716	4502	207
717	4507	200
718	4513	194
719	4519	188
720	4524	181
721	4530	175
722	4539	169
723	4545	163
724	4551	156
725	4556	150
726	4563	144
727	4569	138
728	4573	131
729	4581	125
730	4587	119
731	4593	112
732	4599	106
733	4605	100
734	4611	94
735	4617	87
736	4624	81
737	4630	75
738	4635	69
739	4641	62
740	4647	56
741	4653	50
742	4658	43
743	4664	37
744	4670	31
745	4676	25
746	4681	18
747	4688	12
748	4695	6
749	4701	0
